description,label
"Earn $5000 daily from home without experience or interview",1
"Urgent hiring. Send your bank details to get selected",1
"Make money fast with no skills required",1
"Pay registration fee to get this job opportunity",1
"Work 2 hours daily and earn huge income guaranteed",1
"Click this link and provide personal information to join",1
"Python developer required with Flask and SQL experience",0
"Software engineer role requiring Java and Python knowledge",0
"Frontend developer needed with React experience and portfolio",0
"Machine learning engineer required with Python and TensorFlow skills",0
"Backend developer position with API development experience",0
"Data analyst role requiring SQL and data visualization skills",0
